"year","place","comment","kind","title"
2005,"Geschäftsräume Firma Hofmann",,"Malerei",
2005,"Ehemalige Warengenossenschaft Viernheim",,"Malerei",
2005,"Kunsthaus Viernheim ","(Gruppenausstellung)",,"Nibelungenzyklus"
2006,"Landratsamt Heppenheim",,,"Nibelungenzyklus"
2006,"InVivo Römerberg",,"Malerei",
2006,"Musikpark Mannheim",,"Malerei",
2006,"Humboldtgalerie Viernheim",,"Malerei und Radierung",
2007,"Kunstladen Mannheim","(Gruppenausstellung)",,"Ecken und Kanten"
2007,"Kunstverein Heddesheim",,,"Zwischen Figuration und Abstraktion"
2007,"Kunstverein Rovigo","(Italien)",,"Zwischen Figuration und Abstraktion"
2007,"Nibelungenmuseum Worms",,,"Nibelungenzyklus"
2008,"Eröffnung der eigenen Ausstellungsräume in Viernheim",,,
2008,"Altes Kino Lampertheim",,,"Neue Arbeiten"
2008,"La Casita Hirschberg/ Leutershausen",,,"Monologe, Dialoge, Massentherapie"
2009,"Galerie Sternenstaub Gochsheim Kraichtal",,,"Monologe, Dialoge, Massentherapie"
2009,"Stadthaus-Galerie Lampertheim",,,"Monologe, Dialoge, Massentherapie"
2009,"Sparkasse Viernheim",,,"Zeitzeugen"
2010,"Volksbank Viernheim",,"Malerei",
2010,"Füllhorn Pforzheim",,"Malerei",
2010,"Ständig in der Galerie Sternenstaub vertreten.",,"Malerei",
2011,"Viernheim Innenstadtgalerie","(Gruppenausstellung)",,"Projekt Sieben Viernheimer Künstler"
2011,"Bezug der neuen Werk- und Ausstellungsräume Illertstr.11 in Viernheim ",,,
2012,"Galerie Sternenstaub Heidelberg",,"Malerei","Menschliches"
2012,"Kunsthaus Viernheim",,"Malerei und Skulptur","Zeichen der Zeit"
2013,"Humboldtgalerie Viernheim","(Gruppenausstellung)",,
2013,"Teilnahme Kunstpreis Bürstadt",,,
2014,"Augustinum Heidelberg",,,"Menschliches, Allzumenschliches"
2014,"Rathausgalerie Hirschberg",,"Malerei und Skulptur","Kurt Arnold trifft Kurt Arnold"
2014,"Muddys Club Weinheim",,,"Menschenbilder"
2016,"Villa Meixner Brühl",,,"Der Mensch und was ihn bewegt"
2016,"Kunstverein Großkarlbach",,"Malerei und Skulptur","Gratwanderungen"
2016,"Kunstverein Heddesheim","(Gruppenausstellung)",,"Torso"
2016,"Kunsthaus Viernheim","(Gruppenausstellung)",,"Heimspiel 2.1"
